id,type,ans_count,cr_time,score,poster_rep
137,1,5,2011-11-16T00:27:31.587,40,2392
138,2,,2011-11-16T00:28:31.740,13,728
139,1,4,2011-11-16T00:28:41.817,1,7198
140,2,,2011-11-16T00:29:25.000,14,6139
141,2,,2011-11-16T00:29:48.047,5,1562
143,2,,2011-11-16T00:37:46.143,1,916
144,1,3,2011-11-16T00:43:35.530,8,7198
145,2,,2011-11-16T00:45:22.557,3,427
146,2,,2011-11-16T00:45:55.313,9,1212
147,2,,2011-11-16T00:51:45.093,1,427
148,2,,2011-11-16T00:53:22.857,-2,311
149,1,3,2011-11-16T00:55:21.680,3,6139
150,1,4,2011-11-16T00:59:54.743,8,7198
151,2,,2011-11-16T01:02:34.820,1,728
152,2,,2011-11-16T01:03:24.593,6,579
153,2,,2011-11-16T01:11:46.840,2,2392
154,2,,2011-11-16T01:15:09.283,1,1212
156,2,,2011-11-16T01:24:17.047,2,1562
157,2,,2011-11-16T01:27:52.627,2,1562
158,2,,2011-11-16T01:34:38.433,11,2392
159,2,,2011-11-16T01:38:05.230,4,311
160,1,1,2011-11-16T02:01:15.043,14,7198
161,2,,2011-11-16T02:36:26.343,0,311
162,2,,2011-11-16T02:45:46.403,5,1212
163,2,,2011-11-16T02:54:20.147,0,311
164,2,,2011-11-16T03:07:40.273,5,1212
165,2,,2011-11-16T03:20:08.677,0,5319
166,2,,2011-11-16T03:23:29.850,27,598
167,2,,2011-11-16T03:33:56.560,-1,5319
168,2,,2011-11-16T03:38:34.707,-2,311
169,1,4,2011-11-16T03:39:24.143,15,329
170,2,,2011-11-16T03:39:48.623,2,5319
171,2,,2011-11-16T03:43:45.617,1,157
172,1,5,2011-11-16T03:45:30.853,10,6139
173,2,,2011-11-16T03:48:16.573,2,157
174,1,4,2011-11-16T03:51:32.917,7,329
175,2,,2011-11-16T03:53:50.310,15,1212
176,2,,2011-11-16T03:54:03.863,1,157
177,2,,2011-11-16T04:00:07.860,7,6139
178,2,,2011-11-16T04:00:32.977,2,1212
179,2,,2011-11-16T04:00:44.633,11,1562
180,2,,2011-11-16T04:01:31.977,0,311
181,2,,2011-11-16T04:05:24.640,3,1562
182,2,,2011-11-16T04:38:30.593,16,726
183,2,,2011-11-16T06:36:27.200,0,815
184,2,,2011-11-16T08:21:16.687,5,4256
185,2,,2011-11-16T08:43:03.697,0,75
186,2,,2011-11-16T08:48:24.213,13,2762
187,2,,2011-11-16T08:51:15.067,1,4256
188,2,,2011-11-16T09:00:04.253,8,2762
189,2,,2011-11-16T09:12:00.343,2,4256
190,2,,2011-11-16T09:14:03.743,2,75
191,2,,2011-11-16T09:50:49.320,53,4513
192,1,3,2011-11-16T10:01:11.773,8,75
193,2,,2011-11-16T10:11:37.683,0,2762
194,2,,2011-11-16T10:15:27.030,11,4513
195,2,,2011-11-16T10:31:54.493,6,4513
196,1,1,2011-11-16T10:32:09.597,6,3135
197,2,,2011-11-16T10:39:55.240,5,4513
198,2,,2011-11-16T10:56:38.923,3,2762
199,2,,2011-11-16T11:07:35.943,8,3135
200,1,1,2011-11-16T12:35:55.060,12,430
201,2,,2011-11-16T12:36:54.760,5,4513
202,1,1,2011-11-16T12:39:58.363,-4,1317
203,2,,2011-11-16T12:48:34.970,1,412
204,2,,2011-11-16T12:54:29.807,5,4513
205,2,,2011-11-16T13:02:01.847,56,3135
206,1,1,2011-11-16T13:40:31.983,3,1317
207,1,10,2011-11-16T13:44:33.543,22,1317
208,2,,2011-11-16T13:55:18.627,4,81
209,2,,2011-11-16T14:16:44.590,4,1545
210,2,,2011-11-16T14:38:00.757,2,3135
211,2,,2011-11-16T14:46:09.800,28,2173
212,2,,2011-11-16T15:03:42.043,1,1545
213,1,2,2011-11-16T15:12:13.120,3,1545
214,2,,2011-11-16T15:20:48.677,11,5941
215,1,3,2011-11-16T15:23:06.357,14,329
217,2,,2011-11-16T15:50:53.337,15,2762
218,2,,2011-11-16T16:17:49.087,2,5951
220,1,1,2011-11-16T16:40:32.897,21,494
221,2,,2011-11-16T16:42:38.560,4,1317
222,1,1,2011-11-16T16:52:23.650,2,6139
223,2,,2011-11-16T16:58:21.407,8,4513
224,1,1,2011-11-16T17:09:12.930,8,1212
225,2,,2011-11-16T17:22:51.657,9,5951
226,2,,2011-11-16T17:48:16.000,6,726
227,2,,2011-11-16T17:53:03.540,11,585
228,1,1,2011-11-16T18:17:36.927,1,111
229,2,,2011-11-16T18:22:04.640,4,4378
230,2,,2011-11-16T18:28:53.313,2,585
231,1,3,2011-11-16T18:30:47.707,10,546
232,2,,2011-11-16T18:38:55.820,15,3135
234,1,2,2011-11-16T18:58:35.233,5,546
235,2,,2011-11-16T19:04:54.007,6,6139
236,1,4,2011-11-16T19:29:46.933,7,1317
237,1,2,2011-11-16T19:39:05.900,6,1317
238,2,,2011-11-16T19:41:33.760,2,1545
239,2,,2011-11-16T19:41:43.467,2,2173
240,2,,2011-11-16T19:42:25.100,3,5319
241,2,,2011-11-16T19:44:23.853,7,5941
242,1,2,2011-11-16T20:36:37.220,5,6139
243,2,,2011-11-16T20:42:28.770,8,4378
244,2,,2011-11-16T20:44:18.677,4,1317
245,1,2,2011-11-16T21:25:39.430,29,5951
246,2,,2011-11-16T21:54:52.290,5,6139
248,2,,2011-11-16T21:59:06.330,24,1317
249,1,2,2011-11-16T23:20:19.200,7,956
250,1,2,2011-11-16T23:32:55.550,8,956
251,1,2,2011-11-16T23:48:32.433,8,7198
252,1,4,2011-11-16T23:56:34.063,5,7198
253,1,3,2011-11-17T00:04:20.727,4,7198
254,2,,2011-11-17T00:21:43.393,7,2392
255,2,,2011-11-17T00:25:31.080,4,2173
256,2,,2011-11-17T00:29:00.597,12,728
257,2,,2011-11-17T00:34:12.147,0,728
258,1,2,2011-11-17T00:41:41.167,2,7198
259,2,,2011-11-17T00:51:53.773,2,2392
260,2,,2011-11-17T00:55:02.417,1,728
261,1,2,2011-11-17T01:00:43.063,8,329
262,2,,2011-11-17T01:04:34.437,9,2392
263,1,1,2011-11-17T01:53:47.567,7,885
265,1,2,2011-11-17T02:29:42.270,1,885
266,2,,2011-11-17T02:41:08.690,2,1562
267,2,,2011-11-17T02:47:51.077,1,1562
268,1,3,2011-11-17T02:52:58.280,13,6139
269,2,,2011-11-17T02:54:01.197,0,311
270,2,,2011-11-17T02:54:26.430,2,1562
271,2,,2011-11-17T02:55:48.783,2,885
272,1,3,2011-11-17T03:06:01.357,1,115
273,2,,2011-11-17T03:11:23.713,11,1562
274,2,,2011-11-17T03:14:35.070,2,121
275,2,,2011-11-17T03:16:01.403,-1,311
276,2,,2011-11-17T03:18:37.663,2,726
279,2,,2011-11-17T05:09:04.410,1,311
280,2,,2011-11-17T05:17:36.557,-2,311
281,2,,2011-11-17T05:39:24.190,0,311
282,1,2,2011-11-17T05:44:03.817,6,203
283,1,2,2011-11-17T06:24:16.853,5,3135
284,2,,2011-11-17T06:38:25.693,2,1562
285,2,,2011-11-17T06:38:45.987,6,4513
286,2,,2011-11-17T06:45:23.703,6,1562
287,2,,2011-11-17T06:47:22.397,3,4513
288,1,3,2011-11-17T06:47:52.230,8,6139
289,2,,2011-11-17T06:49:58.670,13,1562
290,2,,2011-11-17T06:56:53.487,4,4513
291,1,1,2011-11-17T10:44:09.867,6,3135
292,1,4,2011-11-17T10:52:06.290,10,3135
293,2,,2011-11-17T10:54:48.553,9,4513
294,2,,2011-11-17T11:02:43.760,11,4513
295,1,1,2011-11-17T11:09:36.033,4,3135
296,2,,2011-11-17T11:39:51.637,7,226
297,2,,2011-11-17T14:01:31.147,6,1545
298,1,1,2011-11-17T14:40:23.420,6,3135
299,1,2,2011-11-17T14:42:36.570,12,268
300,2,,2011-11-17T14:46:00.587,5,1562
301,2,,2011-11-17T14:53:00.677,3,404
302,1,1,2011-11-17T15:05:07.310,6,3135
303,2,,2011-11-17T15:12:21.250,13,5951
304,1,3,2011-11-17T15:15:49.703,9,839
305,1,1,2011-11-17T15:26:32.480,4,3135
306,2,,2011-11-17T15:30:26.533,0,1562
307,2,,2011-11-17T15:31:26.827,3,1562
309,2,,2011-11-17T16:29:49.990,6,4378
310,1,2,2011-11-17T16:44:43.447,4,3135
311,2,,2011-11-17T16:51:17.390,2,2173
313,1,3,2011-11-17T17:06:45.023,19,209
314,2,,2011-11-17T17:31:20.013,3,6139
315,1,3,2011-11-17T17:34:30.213,8,546
316,1,5,2011-11-17T17:40:57.437,12,546
317,2,,2011-11-17T18:16:37.490,8,7198
318,2,,2011-11-17T18:41:19.913,2,3135
319,1,4,2011-11-17T19:07:07.677,9,6139
320,2,,2011-11-17T19:08:37.420,13,3135
321,2,,2011-11-17T19:20:45.837,4,2173
322,1,5,2011-11-17T19:20:58.823,6,7198
323,1,4,2011-11-17T19:24:20.437,6,7198
324,1,9,2011-11-17T19:31:35.517,9,6139
325,2,,2011-11-17T19:42:08.890,1,6139
326,2,,2011-11-17T19:44:50.287,4,3135
327,2,,2011-11-17T19:49:15.883,15,839
328,1,2,2011-11-17T19:53:20.107,21,6139
329,2,,2011-11-17T19:56:31.810,11,3135
330,1,3,2011-11-17T20:17:38.277,4,4378
331,1,0,2011-11-17T20:29:04.903,2,428
332,2,,2011-11-17T20:46:15.297,3,3135
333,2,,2011-11-17T20:53:14.413,3,839
334,2,,2011-11-17T21:17:29.467,2,728
335,2,,2011-11-17T21:24:43.910,25,4513
336,2,,2011-11-17T21:24:44.490,10,839
337,2,,2011-11-17T22:07:30.143,11,839
338,1,2,2011-11-17T22:58:20.497,2,1545
340,2,,2011-11-17T23:23:21.763,3,728
341,2,,2011-11-17T23:41:48.340,3,815
342,1,3,2011-11-17T23:46:35.527,14,815
343,2,,2011-11-18T00:07:46.843,3,815
344,2,,2011-11-18T00:13:53.773,4,365
345,2,,2011-11-18T00:18:37.653,9,7198
346,1,2,2011-11-18T00:27:24.200,15,1545
347,2,,2011-11-18T01:49:57.533,14,991
348,2,,2011-11-18T04:16:52.090,2,169
349,2,,2011-11-18T04:24:27.173,2,169
350,2,,2011-11-18T04:43:41.433,6,169
352,1,5,2011-11-18T06:38:10.467,8,4513
353,2,,2011-11-18T10:29:39.330,2,5941
355,2,,2011-11-18T11:00:31.953,1,2313
356,1,2,2011-11-18T11:25:46.143,6,797
357,2,,2011-11-18T11:48:19.933,5,211
358,2,,2011-11-18T12:21:54.753,-1,1562
359,1,2,2011-11-18T12:24:54.893,8,3135
360,2,,2011-11-18T12:37:31.727,0,885
361,2,,2011-11-18T13:07:53.970,5,2313
362,1,4,2011-11-18T14:04:35.887,7,428
363,2,,2011-11-18T14:23:35.777,13,2313
364,1,1,2011-11-18T14:25:35.943,5,4513
365,2,,2011-11-18T14:39:58.087,5,2313
366,2,,2011-11-18T14:54:17.110,5,1212
367,2,,2011-11-18T15:09:14.173,2,404
368,2,,2011-11-18T16:44:28.023,7,6139
369,1,1,2011-11-18T18:16:13.190,4,428
370,2,,2011-11-18T18:37:47.490,8,839
371,2,,2011-11-18T19:38:10.287,3,445
372,2,,2011-11-18T19:41:52.150,2,839
373,2,,2011-11-18T20:25:34.373,1,3135
375,1,1,2011-11-18T21:37:04.010,10,839
376,2,,2011-11-18T22:16:55.477,8,4378
377,1,3,2011-11-19T02:31:14.440,7,991
378,1,1,2011-11-19T02:48:02.643,5,991
379,2,,2011-11-19T03:22:38.953,4,991
380,2,,2011-11-19T03:26:49.883,4,169
381,1,1,2011-11-19T03:35:48.137,14,215
382,2,,2011-11-19T03:52:58.737,2,169
383,1,1,2011-11-19T05:53:31.833,7,138
384,2,,2011-11-19T06:50:16.057,1,991
385,1,3,2011-11-19T09:01:57.243,10,3135
386,2,,2011-11-19T09:31:55.497,6,2762
387,1,2,2011-11-19T10:12:20.940,5,991
388,2,,2011-11-19T10:36:45.530,6,2173
389,2,,2011-11-19T10:46:41.267,4,2173
390,2,,2011-11-19T11:43:20.287,1,75
391,2,,2011-11-19T13:31:39.990,7,885
392,2,,2011-11-19T14:15:02.973,3,153
393,2,,2011-11-19T14:18:24.777,8,885
394,1,2,2011-11-19T15:02:27.867,8,428
395,2,,2011-11-19T16:01:18.027,5,3135
396,1,1,2011-11-19T18:07:00.453,9,1545
397,2,,2011-11-19T18:20:37.167,3,839
398,2,,2011-11-19T18:33:42.413,10,2506
399,2,,2011-11-19T19:04:08.200,1,885
400,2,,2011-11-19T19:11:08.327,3,129
401,2,,2011-11-19T19:55:01.890,9,2392
402,2,,2011-11-19T21:43:04.180,8,2173
403,1,1,2011-11-19T23:40:23.933,2,585
404,2,,2011-11-20T01:14:01.290,3,5070
405,1,1,2011-11-20T01:44:38.840,6,5070
406,2,,2011-11-20T01:50:09.910,5,2392
407,1,1,2011-11-20T02:07:36.800,10,215
408,2,,2011-11-20T02:28:46.720,7,991
409,2,,2011-11-20T02:29:38.957,2,215
410,2,,2011-11-20T07:01:45.680,8,885
411,2,,2011-11-20T08:06:09.867,1,3135
412,1,4,2011-11-20T18:30:00.063,13,6139
413,2,,2011-11-20T19:13:44.517,16,579
414,1,2,2011-11-20T19:32:49.837,4,956
415,2,,2011-11-20T19:50:45.130,0,2392
416,2,,2011-11-20T20:18:56.397,7,5070
417,1,1,2011-11-21T02:49:38.210,5,991
418,1,2,2011-11-21T04:25:22.573,13,460
419,2,,2011-11-21T05:12:00.447,5,991
420,1,2,2011-11-21T06:02:30.193,8,205
421,2,,2011-11-21T08:05:45.243,3,2762
422,2,,2011-11-21T08:14:30.173,7,770
423,2,,2011-11-21T08:52:00.923,6,4513
424,2,,2011-11-21T11:39:02.817,1,19
425,2,,2011-11-21T12:46:08.777,19,5070
426,1,3,2011-11-21T14:46:32.023,8,3135
427,2,,2011-11-21T15:09:41.940,4,2506
428,2,,2011-11-21T15:13:10.593,5,2313
429,1,2,2011-11-21T17:12:11.423,7,885
430,2,,2011-11-21T17:34:04.487,8,1317
431,1,3,2011-11-21T17:46:32.713,6,7198
432,1,5,2011-11-21T18:03:07.090,6,7198
433,1,3,2011-11-21T18:14:48.827,9,7198
434,2,,2011-11-21T18:36:47.427,3,5070
435,2,,2011-11-21T18:44:11.203,11,2506
436,2,,2011-11-21T18:56:14.790,6,2173
437,2,,2011-11-21T19:04:06.300,3,2173
438,1,2,2011-11-21T19:06:25.760,8,7198
439,2,,2011-11-21T19:21:28.273,9,2506
440,2,,2011-11-21T19:27:34.767,3,5070
441,1,9,2011-11-21T22:15:46.937,11,209
442,2,,2011-11-21T22:33:53.463,16,1562
443,2,,2011-11-21T22:37:10.353,3,5070
444,2,,2011-11-21T22:39:39.193,11,365
445,2,,2011-11-21T23:02:30.863,4,815
446,1,2,2011-11-21T23:09:25.327,7,7198
447,2,,2011-11-21T23:10:20.273,8,815
448,2,,2011-11-21T23:22:24.240,6,5070
449,2,,2011-11-21T23:37:14.600,6,770
450,1,4,2011-11-21T23:55:25.203,12,74
451,2,,2011-11-22T00:27:54.797,20,1562
452,1,3,2011-11-22T00:51:00.567,8,7198
454,2,,2011-11-22T01:12:51.960,10,404
455,1,3,2011-11-22T02:37:14.433,8,991
456,1,3,2011-11-22T06:19:19.307,12,205
457,1,5,2011-11-22T09:26:55.917,11,991
458,2,,2011-11-22T10:11:04.583,2,3135
459,2,,2011-11-22T10:12:12.903,17,5941
460,2,,2011-11-22T10:45:37.097,4,3135
461,2,,2011-11-22T11:13:27.150,11,5070
462,2,,2011-11-22T12:56:42.947,7,3135
463,1,4,2011-11-22T14:30:06.163,7,3135
464,2,,2011-11-22T14:37:06.593,9,839
465,2,,2011-11-22T14:48:13.873,14,5070
466,2,,2011-11-22T14:49:37.100,3,1562
467,2,,2011-11-22T14:50:20.587,9,2506
468,1,4,2011-11-22T16:15:29.030,14,268
469,2,,2011-11-22T16:27:43.793,14,2313
470,2,,2011-11-22T16:35:34.920,2,153
471,1,4,2011-11-22T17:50:12.340,9,3135
472,2,,2011-11-22T18:40:23.923,13,286
473,2,,2011-11-22T19:14:38.793,13,5070
474,2,,2011-11-22T19:34:57.660,4,365
475,1,1,2011-11-22T19:37:21.493,3,3135
476,2,,2011-11-22T19:49:13.483,2,5070
477,1,1,2011-11-22T20:33:36.693,4,3135
478,1,3,2011-11-22T20:52:09.663,3,3135
479,1,4,2011-11-22T21:06:57.193,4,3135
480,1,6,2011-11-22T21:29:46.480,7,3135
481,2,,2011-11-22T21:44:30.717,8,4378
482,1,1,2011-11-22T21:50:08.560,5,3135
483,2,,2011-11-22T22:08:57.907,4,5070
484,1,4,2011-11-22T22:10:25.743,5,3135
485,2,,2011-11-22T22:15:47.987,2,778
486,2,,2011-11-22T22:19:04.677,8,236
487,1,4,2011-11-22T22:20:21.400,13,815
488,2,,2011-11-22T22:23:53.540,7,778
489,2,,2011-11-22T22:27:11.503,1,778
490,2,,2011-11-22T22:28:18.540,4,236
491,1,5,2011-11-22T22:30:43.173,4,916
492,2,,2011-11-22T22:38:39.503,3,3135
493,2,,2011-11-22T22:49:04.510,5,815
494,2,,2011-11-22T23:08:47.840,4,726
495,2,,2011-11-22T23:15:54.083,1,111
496,2,,2011-11-22T23:42:16.107,1,406
497,2,,2011-11-22T23:50:46.313,3,770
498,2,,2011-11-23T02:10:17.270,0,101
499,2,,2011-11-23T02:46:22.680,1,2392
500,2,,2011-11-23T02:53:35.297,12,418
501,2,,2011-11-23T02:59:56.007,3,7198
502,2,,2011-11-23T03:33:51.283,1,418
503,1,3,2011-11-23T04:57:28.017,3,7198
504,1,3,2011-11-23T05:02:22.843,9,7198
505,1,3,2011-11-23T05:11:55.507,7,7198
506,2,,2011-11-23T05:14:45.853,8,1556
507,2,,2011-11-23T05:24:03.230,8,1556
508,2,,2011-11-23T05:29:04.160,5,726
509,2,,2011-11-23T05:31:28.997,3,1556
510,2,,2011-11-23T05:40:13.953,9,406
511,2,,2011-11-23T05:43:36.477,3,6139
512,2,,2011-11-23T06:34:35.090,1,726
513,1,3,2011-11-23T06:55:28.163,41,631
514,2,,2011-11-23T07:03:55.617,4,167
515,2,,2011-11-23T08:06:51.403,6,216
516,2,,2011-11-23T08:29:49.483,3,2762
517,2,,2011-11-23T08:48:15.240,5,365
518,2,,2011-11-23T10:22:10.100,10,4513
519,2,,2011-11-23T11:53:29.767,32,2506
520,2,,2011-11-23T12:36:57.963,2,216
521,1,6,2011-11-23T17:01:11.740,20,494
522,2,,2011-11-23T17:36:11.157,-1,1
523,1,10,2011-11-23T18:27:29.430,32,916
524,2,,2011-11-23T18:33:40.633,10,2762
525,2,,2011-11-23T18:47:04.637,8,81
526,2,,2011-11-23T18:48:25.283,3,916
527,2,,2011-11-23T18:50:03.257,5,4378
528,2,,2011-11-23T18:57:13.533,2,216
529,2,,2011-11-23T19:26:53.970,35,6139
530,1,2,2011-11-23T19:26:54.110,6,428
531,2,,2011-11-23T19:27:08.470,6,3135
532,2,,2011-11-23T21:10:48.053,1,274
533,2,,2011-11-23T21:35:37.680,1,770
534,2,,2011-11-23T22:27:41.050,23,1006
