CreationVote,CreationPost,VoteType,PostId
2012-10-04T00:00:00.000,2011-11-15T21:01:05.117,2,14
2015-08-10T00:00:00.000,2011-11-15T21:01:05.117,2,14
2015-08-12T00:00:00.000,2011-11-15T21:01:05.117,2,14
2011-11-15T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-15T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-15T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-15T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-15T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-16T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-16T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-16T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-22T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-23T00:00:00.000,2011-11-15T21:05:54.320,2,18
2012-01-05T00:00:00.000,2011-11-15T21:05:54.320,2,18
2012-01-16T00:00:00.000,2011-11-15T21:05:54.320,2,18
2012-03-15T00:00:00.000,2011-11-15T21:05:54.320,2,18
2012-04-21T00:00:00.000,2011-11-15T21:05:54.320,2,18
2012-04-29T00:00:00.000,2011-11-15T21:05:54.320,2,18
2012-07-25T00:00:00.000,2011-11-15T21:05:54.320,2,18
2013-02-04T00:00:00.000,2011-11-15T21:05:54.320,2,18
2014-01-04T00:00:00.000,2011-11-15T21:05:54.320,3,18
2014-06-03T00:00:00.000,2011-11-15T21:05:54.320,2,18
2015-07-10T00:00:00.000,2011-11-15T21:05:54.320,2,18
2015-08-18T00:00:00.000,2011-11-15T21:05:54.320,2,18
2011-11-16T00:00:00.000,2011-11-15T21:06:38.027,2,21
2012-01-04T00:00:00.000,2011-11-15T21:06:38.027,2,21
2012-01-16T00:00:00.000,2011-11-15T21:06:38.027,2,21
2015-08-18T00:00:00.000,2011-11-15T21:06:38.027,2,21
2011-11-15T00:00:00.000,2011-11-15T21:07:56.910,2,22
2011-11-15T00:00:00.000,2011-11-15T21:07:56.910,2,22
