,AnsId,QuestionId,Ans_count,index,Votes,AnsRank,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
79,6,2.0,5,15,0.0,3,1,0.0,0.6,0.36,0.0
80,8,2.0,5,15,0.0,4,1,0.0,0.8,0.64,0.0
81,59,2.0,5,15,0.0,5,1,0.0,1.0,1.0,0.0
82,10,2.0,5,16,1.0,1,2,0.75,0.2,0.04,0.0
83,13,2.0,5,16,0.0,2,2,0.0,0.4,0.16,0.0
84,6,2.0,5,16,0.0,3,2,0.0,0.6,0.36,0.0
85,8,2.0,5,16,0.0,4,2,0.0,0.8,0.64,0.0
86,59,2.0,5,16,0.0,5,2,0.0,1.0,1.0,0.0
87,10,2.0,5,17,1.0,1,15,0.8,0.2,0.04,0.0
88,13,2.0,5,17,1.0,2,15,0.75,0.4,0.16,0.0
89,6,2.0,5,17,0.0,3,15,0.0,0.6,0.36,0.0
90,8,2.0,5,17,0.0,4,15,0.0,0.8,0.64,0.0
91,59,2.0,5,17,0.0,5,15,0.0,1.0,1.0,0.0
92,10,2.0,5,18,1.0,1,26,0.833333333333,0.2,0.04,0.0
93,13,2.0,5,18,0.0,2,26,0.75,0.4,0.16,0.0
94,6,2.0,5,18,0.0,3,26,0.0,0.6,0.36,0.0
95,8,2.0,5,18,0.0,4,26,0.0,0.8,0.64,0.0
96,59,2.0,5,18,0.0,5,26,0.0,1.0,1.0,0.0
97,10,2.0,5,19,1.0,1,808,0.857142857143,0.2,0.04,0.0
98,13,2.0,5,19,0.0,2,808,0.75,0.4,0.16,0.0
99,6,2.0,5,19,0.0,3,808,0.0,0.6,0.36,0.0
100,8,2.0,5,19,0.0,4,808,0.0,0.8,0.64,0.0
101,59,2.0,5,19,0.0,5,808,0.0,1.0,1.0,0.0
102,9,3.0,6,20,4.0,1,0,0.0,0.166666666667,0.0277777777778,0.0
103,109,3.0,6,20,1.0,2,0,0.0,0.333333333333,0.111111111111,0.0
104,35,3.0,6,20,1.0,3,0,0.0,0.5,0.25,0.0
105,11,3.0,6,20,3.0,4,0,0.0,0.666666666667,0.444444444444,0.0
106,15,3.0,6,20,1.0,5,0,0.0,0.833333333333,0.694444444444,0.0
107,12,3.0,6,20,1.0,6,0,0.0,1.0,1.0,0.0
108,109,3.0,7,21,4.0,1,1,0.0,0.142857142857,0.0204081632653,0.0
109,9,3.0,7,21,1.0,2,1,0.0,0.285714285714,0.0816326530612,0.0
110,11,3.0,7,21,1.0,3,1,0.0,0.428571428571,0.183673469388,0.0
111,35,3.0,7,21,1.0,4,1,0.0,0.571428571429,0.326530612245,0.0
112,143,3.0,7,21,1.0,5,1,0.0,0.714285714286,0.510204081633,0.0
113,15,3.0,7,21,1.0,6,1,0.0,0.857142857143,0.734693877551,0.0
114,12,3.0,7,21,1.0,7,1,0.0,1.0,1.0,0.0
115,109,3.0,7,22,1.0,1,2,0.5,0.142857142857,0.0204081632653,-0.142857142857
116,9,3.0,7,22,0.0,2,2,0.0,0.285714285714,0.0816326530612,-0.142857142857
117,11,3.0,7,22,1.0,3,2,0.75,0.428571428571,0.183673469388,0.285714285714
118,35,3.0,7,22,0.0,4,2,0.0,0.571428571429,0.326530612245,0.0
119,143,3.0,7,22,0.0,5,2,0.0,0.714285714286,0.510204081633,0.0
120,15,3.0,7,22,1.0,6,2,-0.5,0.857142857143,0.734693877551,-0.142857142857
121,12,3.0,7,22,0.0,7,2,0.0,1.0,1.0,0.142857142857
122,109,3.0,7,23,1.0,1,3,0.833333333333,0.142857142857,0.0204081632653,0.0
123,9,3.0,7,23,0.0,2,3,0.0,0.285714285714,0.0816326530612,-0.142857142857
124,11,3.0,7,23,0.0,3,3,0.75,0.428571428571,0.183673469388,0.142857142857
125,35,3.0,7,23,0.0,4,3,0.0,0.571428571429,0.326530612245,0.0
126,143,3.0,7,23,0.0,5,3,0.0,0.714285714286,0.510204081633,0.0
127,15,3.0,7,23,0.0,6,3,-0.5,0.857142857143,0.734693877551,-0.142857142857
128,12,3.0,7,23,0.0,7,3,0.0,1.0,1.0,0.142857142857
129,9,3.0,8,24,0.0,1,5,0.0,0.125,0.015625,-0.25
130,109,3.0,8,24,0.0,2,5,0.833333333333,0.25,0.0625,0.125
131,11,3.0,8,24,0.0,3,5,0.75,0.375,0.140625,0.125
132,35,3.0,8,24,0.0,4,5,0.0,0.5,0.25,0.0
133,410,3.0,8,24,1.0,5,5,0.0,0.625,0.390625,0.0
134,143,3.0,8,24,0.0,6,5,0.0,0.75,0.5625,0.0
135,15,3.0,8,24,0.0,7,5,-0.5,0.875,0.765625,-0.125
136,12,3.0,8,24,0.0,8,5,0.0,1.0,1.0,0.125
137,109,3.0,8,25,0.0,1,6,0.833333333333,0.125,0.015625,0.0
138,9,3.0,8,25,0.0,2,6,0.0,0.25,0.0625,-0.125
139,410,3.0,8,25,1.0,3,6,0.0,0.375,0.140625,-0.125
140,11,3.0,8,25,0.0,4,6,0.75,0.5,0.25,0.25
141,35,3.0,8,25,0.0,5,6,0.0,0.625,0.390625,0.0
142,143,3.0,8,25,0.0,6,6,0.0,0.75,0.5625,0.0
143,15,3.0,8,25,0.0,7,6,-0.5,0.875,0.765625,-0.125
144,12,3.0,8,25,0.0,8,6,0.0,1.0,1.0,0.125
145,109,3.0,8,26,0.0,1,8,0.833333333333,0.125,0.015625,0.0
146,9,3.0,8,26,0.0,2,8,0.0,0.25,0.0625,-0.25
147,410,3.0,8,26,1.0,3,8,0.5,0.375,0.140625,0.0
148,11,3.0,8,26,0.0,4,8,0.75,0.5,0.25,0.25
149,35,3.0,8,26,0.0,5,8,0.0,0.625,0.390625,0.0
150,143,3.0,8,26,0.0,6,8,0.0,0.75,0.5625,0.0
151,15,3.0,8,26,0.0,7,8,-0.5,0.875,0.765625,-0.125
152,12,3.0,8,26,0.0,8,8,0.0,1.0,1.0,0.125
153,109,3.0,8,27,1.0,1,13,0.857142857143,0.125,0.015625,0.0
154,9,3.0,8,27,1.0,2,13,0.8,0.25,0.0625,0.0
155,11,3.0,8,27,1.0,3,13,0.8,0.375,0.140625,0.0
156,410,3.0,8,27,0.0,4,13,0.5,0.5,0.25,0.0
157,35,3.0,8,27,0.0,5,13,0.0,0.625,0.390625,0.0
158,143,3.0,8,27,0.0,6,13,0.0,0.75,0.5625,0.0
159,15,3.0,8,27,0.0,7,13,-0.5,0.875,0.765625,-0.125
160,12,3.0,8,27,0.0,8,13,0.0,1.0,1.0,0.125
161,109,3.0,8,28,1.0,1,30,0.875,0.125,0.015625,0.0
162,9,3.0,8,28,0.0,2,30,0.8,0.25,0.0625,0.0
163,11,3.0,8,28,0.0,3,30,0.8,0.375,0.140625,0.0
164,410,3.0,8,28,0.0,4,30,0.5,0.5,0.25,0.0
165,35,3.0,8,28,0.0,5,30,0.0,0.625,0.390625,0.0
166,143,3.0,8,28,0.0,6,30,0.0,0.75,0.5625,0.0
167,15,3.0,8,28,0.0,7,30,-0.5,0.875,0.765625,-0.125
168,12,3.0,8,28,0.0,8,30,0.0,1.0,1.0,0.125
169,109,3.0,8,29,1.0,1,48,0.888888888889,0.125,0.015625,0.0
170,9,3.0,8,29,0.0,2,48,0.8,0.25,0.0625,0.0
171,11,3.0,8,29,0.0,3,48,0.8,0.375,0.140625,0.0
172,410,3.0,8,29,0.0,4,48,0.5,0.5,0.25,0.0
173,35,3.0,8,29,0.0,5,48,0.0,0.625,0.390625,0.0
174,143,3.0,8,29,0.0,6,48,0.0,0.75,0.5625,0.0
175,15,3.0,8,29,0.0,7,48,-0.5,0.875,0.765625,-0.125
176,12,3.0,8,29,0.0,8,48,0.0,1.0,1.0,0.125
177,109,3.0,8,30,1.0,1,65,0.9,0.125,0.015625,0.0
178,410,3.0,8,30,1.0,2,65,0.666666666667,0.25,0.0625,-0.25
179,9,3.0,8,30,0.0,3,65,0.8,0.375,0.140625,0.125
180,11,3.0,8,30,0.0,4,65,0.8,0.5,0.25,0.125
181,35,3.0,8,30,0.0,5,65,0.0,0.625,0.390625,0.0
182,143,3.0,8,30,0.0,6,65,0.0,0.75,0.5625,0.0
183,15,3.0,8,30,0.0,7,65,-0.5,0.875,0.765625,-0.125
184,12,3.0,8,30,0.0,8,65,0.0,1.0,1.0,0.125
185,109,3.0,8,31,1.0,1,362,0.909090909091,0.125,0.015625,0.0
186,410,3.0,8,31,1.0,2,362,0.75,0.25,0.0625,-0.25
187,9,3.0,8,31,1.0,3,362,0.833333333333,0.375,0.140625,0.125
188,11,3.0,8,31,0.0,4,362,0.8,0.5,0.25,0.125
189,35,3.0,8,31,0.0,5,362,0.0,0.625,0.390625,0.0
190,143,3.0,8,31,0.0,6,362,0.0,0.75,0.5625,0.0
191,15,3.0,8,31,0.0,7,362,-0.5,0.875,0.765625,-0.125
192,12,3.0,8,31,0.0,8,362,0.0,1.0,1.0,0.125
193,109,3.0,8,32,0.0,1,401,0.909090909091,0.125,0.015625,0.0
194,9,3.0,8,32,1.0,2,401,0.857142857143,0.25,0.0625,0.0
195,410,3.0,8,32,0.0,3,401,0.75,0.375,0.140625,-0.125
196,11,3.0,8,32,0.0,4,401,0.8,0.5,0.25,0.125
197,35,3.0,8,32,0.0,5,401,0.0,0.625,0.390625,0.0
198,143,3.0,8,32,0.0,6,401,0.0,0.75,0.5625,0.0
199,15,3.0,8,32,0.0,7,401,-0.5,0.875,0.765625,-0.125
200,12,3.0,8,32,0.0,8,401,0.0,1.0,1.0,0.125
201,109,3.0,8,33,0.0,1,491,0.909090909091,0.125,0.015625,0.0
202,410,3.0,8,33,1.0,2,491,0.8,0.25,0.0625,-0.125
203,9,3.0,8,33,0.0,3,491,0.857142857143,0.375,0.140625,0.125
204,11,3.0,8,33,0.0,4,491,0.8,0.5,0.25,0.0
205,35,3.0,8,33,0.0,5,491,0.0,0.625,0.390625,0.0
206,143,3.0,8,33,0.0,6,491,0.0,0.75,0.5625,0.0
207,15,3.0,8,33,0.0,7,491,-0.5,0.875,0.765625,-0.125
208,12,3.0,8,33,0.0,8,491,0.0,1.0,1.0,0.125
209,109,3.0,8,34,1.0,1,521,0.916666666667,0.125,0.015625,0.0
210,410,3.0,8,34,1.0,2,521,0.833333333333,0.25,0.0625,-0.125
211,9,3.0,8,34,0.0,3,521,0.857142857143,0.375,0.140625,0.125
212,11,3.0,8,34,0.0,4,521,0.8,0.5,0.25,0.0
213,35,3.0,8,34,0.0,5,521,0.0,0.625,0.390625,0.0
214,143,3.0,8,34,0.0,6,521,0.0,0.75,0.5625,0.0
