,QuestionId,AnsRank,Ans_count,AnsId,Age_vot,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank,index
0,14.0,1,2,20,1,1.0,0.0,0.5,0.25,0.0,75
1,14.0,2,2,23,1,1.0,0.0,1.0,1.0,0.0,75
2,14.0,1,2,20,2,1.0,0.875,0.5,0.25,0.0,76
3,14.0,1,2,20,3,1.0,0.888888888889,0.5,0.25,0.0,77
4,14.0,2,2,23,3,1.0,0.75,1.0,1.0,0.0,77
5,14.0,1,2,20,30,1.0,0.9,0.5,0.25,0.0,78
6,14.0,1,2,20,37,1.0,0.909090909091,0.5,0.25,0.0,79
7,14.0,1,2,20,43,1.0,0.916666666667,0.5,0.25,0.0,80
8,14.0,1,2,20,48,1.0,0.923076923077,0.5,0.25,0.0,81
9,14.0,1,2,20,50,1.0,0.928571428571,0.5,0.25,0.0,82
10,14.0,1,2,20,255,1.0,0.933333333333,0.5,0.25,0.0,83
11,14.0,1,2,20,325,1.0,0.9375,0.5,0.25,0.0,84
12,14.0,1,2,20,889,1.0,0.941176470588,0.5,0.25,0.0,85
13,14.0,1,2,20,1365,1.0,0.944444444444,0.5,0.25,0.0,86
14,18.0,1,2,33,1,1.0,0.0,0.5,0.25,0.0,91
15,18.0,2,2,24,1,1.0,0.0,1.0,1.0,0.0,91
16,18.0,1,2,33,2,1.0,0.75,0.5,0.25,0.0,92
17,21.0,1,2,40,0,1.0,0.0,0.5,0.25,0.0,113
18,21.0,2,2,80,0,1.0,0.0,1.0,1.0,0.0,113
19,21.0,2,2,40,1,1.0,0.0,1.0,1.0,0.0,114
20,21.0,1,2,80,2,1.0,0.5,0.5,0.25,0.0,115
21,21.0,2,2,40,2,1.0,0.5,1.0,1.0,0.0,115
22,21.0,2,2,40,123,1.0,0.666666666667,1.0,1.0,0.5,116
23,25.0,1,2,27,0,1.0,0.0,0.5,0.25,0.0,146
24,25.0,2,2,29,0,1.0,0.0,1.0,1.0,0.0,146
25,31.0,2,2,86,3,1.0,0.666666666667,1.0,1.0,0.0,195
26,31.0,1,2,45,5,1.0,0.9,0.5,0.25,0.0,196
27,31.0,2,2,86,5,1.0,0.8,1.0,1.0,0.0,196
28,31.0,1,2,45,10,1.0,0.916666666667,0.5,0.25,0.0,197
29,31.0,1,2,86,29,1.0,0.833333333333,0.5,0.25,-0.5,198
30,31.0,1,2,86,30,1.0,0.857142857143,0.5,0.25,-0.5,199
31,31.0,2,2,45,30,1.0,0.923076923077,1.0,1.0,0.5,199
