,QuestionId,Age_vot,AnsRank,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
0,1.0,108,5,1.0,0.0,1.0,1.0,0.0
0,1.0,158,5,0.0,0.0,1.0,1.0,0.0
0,1.0,951,5,1.0,0.0,0.833333333333,0.694444444444,0.0
0,1.0,952,5,0.0,0.0,0.833333333333,0.694444444444,0.0
0,1.0,1232,5,0.0,0.0,0.833333333333,0.694444444444,0.0
0,1.0,1256,5,0.0,0.0,0.833333333333,0.694444444444,0.0
0,1.0,1285,5,0.0,0.0,0.833333333333,0.694444444444,0.0
0,1.0,1401,5,0.0,0.0,0.833333333333,0.694444444444,0.0
0,1.0,1436,5,0.0,0.0,0.714285714286,0.510204081633,0.0
1,1.0,1436,5,0.0,0.0,0.714285714286,0.510204081633,0.0
2,1.0,1436,5,0.0,0.0,0.714285714286,0.510204081633,0.0
0,2.0,0,5,0.0,0.0,1.0,1.0,0.0
1,2.0,0,5,0.0,0.0,1.0,1.0,0.0
2,2.0,0,5,0.0,0.0,1.0,1.0,0.0
3,2.0,0,5,0.0,0.0,1.0,1.0,0.0
4,2.0,0,5,0.0,0.0,1.0,1.0,0.0
5,2.0,0,5,0.0,0.0,1.0,1.0,0.0
6,2.0,0,5,0.0,0.0,1.0,1.0,0.0
7,2.0,0,5,0.0,0.0,1.0,1.0,0.0
8,2.0,0,5,1.0,0.0,1.0,1.0,0.0
0,2.0,1,5,0.0,0.0,1.0,1.0,0.0
1,2.0,1,5,0.0,0.0,1.0,1.0,0.0
0,2.0,2,5,0.0,0.0,1.0,1.0,0.0
0,2.0,15,5,0.0,0.0,1.0,1.0,0.0
1,2.0,15,5,0.0,0.0,1.0,1.0,0.0
0,2.0,26,5,0.0,0.0,1.0,1.0,0.0
0,2.0,808,5,0.0,0.0,1.0,1.0,0.0
0,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
1,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
2,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
3,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
4,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
5,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
6,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
7,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
8,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
9,3.0,0,5,0.0,0.0,0.833333333333,0.694444444444,0.0
10,3.0,0,5,1.0,0.0,0.833333333333,0.694444444444,0.0
0,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
1,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
2,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
3,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
4,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
5,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
6,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
7,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
8,3.0,1,5,0.0,0.0,0.714285714286,0.510204081633,0.0
9,3.0,1,5,1.0,0.0,0.714285714286,0.510204081633,0.0
0,3.0,2,5,0.0,0.0,0.714285714286,0.510204081633,0.0
1,3.0,2,5,0.0,0.0,0.714285714286,0.510204081633,0.0
2,3.0,2,5,0.0,0.0,0.714285714286,0.510204081633,0.0
0,3.0,3,5,0.0,0.0,0.714285714286,0.510204081633,0.0
0,3.0,5,5,1.0,0.0,0.625,0.390625,0.0
0,3.0,6,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,8,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,13,5,0.0,0.0,0.625,0.390625,0.0
1,3.0,13,5,0.0,0.0,0.625,0.390625,0.0
2,3.0,13,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,30,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,48,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,65,5,0.0,0.0,0.625,0.390625,0.0
1,3.0,65,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,362,5,0.0,0.0,0.625,0.390625,0.0
1,3.0,362,5,0.0,0.0,0.625,0.390625,0.0
2,3.0,362,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,401,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,491,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,521,5,0.0,0.0,0.625,0.390625,0.0
1,3.0,521,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,615,5,0.0,0.0,0.625,0.390625,0.0
1,3.0,615,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,739,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,743,5,0.0,0.0,0.625,0.390625,0.0
0,3.0,751,5,0.0,0.0,0.555555555556,0.308641975309,0.0
0,3.0,752,5,0.0,0.0,0.555555555556,0.308641975309,-0.111111111111
