,QuestionId,Age
342,64.0,14
343,64.0,20
344,64.0,30
345,64.0,1335
346,74.0,0
347,74.0,1
348,74.0,2
349,74.0,7
350,74.0,30
351,74.0,33
352,74.0,50
353,74.0,438
354,82.0,1180
355,82.0,1181
356,82.0,1182
357,83.0,0
358,83.0,1
359,83.0,2
360,83.0,29
361,83.0,30
362,83.0,50
363,83.0,77
364,83.0,168
365,83.0,1120
366,83.0,1122
367,84.0,0
368,84.0,1
369,84.0,2
370,84.0,3
371,84.0,4
372,84.0,5
373,84.0,6
374,84.0,7
375,84.0,8
376,84.0,9
377,84.0,11
378,84.0,17
379,84.0,21
380,84.0,29
381,84.0,30
382,84.0,35
383,84.0,36
384,84.0,47
385,84.0,50
386,84.0,57
387,84.0,60
388,84.0,68
389,84.0,71
390,84.0,74
391,84.0,89
392,84.0,121
393,84.0,170
394,84.0,177
395,84.0,183
396,84.0,199
397,84.0,200
398,84.0,202
399,84.0,210
400,84.0,213
401,84.0,267
402,84.0,342
403,84.0,362
404,84.0,379
405,84.0,443
406,84.0,609
407,84.0,711
408,84.0,739
409,84.0,797
410,84.0,800
411,84.0,809
412,84.0,811
413,84.0,842
414,84.0,891
415,84.0,912
416,84.0,1046
417,84.0,1069
418,84.0,1084
419,84.0,1122
420,84.0,1128
421,84.0,1184
422,84.0,1190
423,84.0,1191
424,84.0,1198
425,84.0,1249
426,84.0,1256
427,84.0,1300
428,84.0,1303
429,84.0,1423
430,84.0,1424
431,84.0,1425
432,84.0,1443
433,84.0,1450
434,84.0,1453
435,84.0,1455
436,92.0,20
437,92.0,21
438,92.0,22
439,92.0,28
440,92.0,30
441,92.0,63
442,92.0,280
443,92.0,737
444,92.0,739
445,94.0,5
446,94.0,6
447,94.0,23
448,94.0,24
449,98.0,0
450,98.0,1
451,98.0,52
452,98.0,78
453,104.0,0
454,104.0,1
455,104.0,5
456,104.0,9
457,104.0,30
458,108.0,0
459,108.0,1
460,108.0,2
461,108.0,3
462,108.0,11
463,108.0,18
464,108.0,28
465,108.0,29
466,108.0,37
467,108.0,50
468,108.0,51
469,108.0,65
470,108.0,307
471,108.0,324
472,108.0,325
473,108.0,445
474,108.0,449
475,108.0,680
476,108.0,707
477,108.0,711
478,108.0,735
479,108.0,752
480,108.0,812
481,108.0,861
482,108.0,871
483,108.0,872
484,108.0,1021
485,108.0,1044
486,108.0,1115
487,108.0,1116
488,108.0,1212
489,108.0,1218
490,108.0,1257
491,108.0,1413
492,113.0,1
493,113.0,2
494,113.0,3
495,113.0,16
496,113.0,20
497,113.0,21
498,113.0,49
499,113.0,54
500,113.0,109
501,113.0,169
502,113.0,171
503,113.0,172
504,113.0,182
505,113.0,213
506,113.0,1102
507,115.0,177
508,115.0,178
509,115.0,260
510,123.0,0
511,123.0,1
512,123.0,2
513,123.0,5
514,123.0,36
515,123.0,63
516,123.0,70
517,123.0,91
518,123.0,149
519,123.0,150
520,123.0,151
521,123.0,152
522,123.0,153
523,123.0,154
524,123.0,156
525,129.0,0
526,129.0,1
527,129.0,4
528,129.0,29
529,129.0,48
530,129.0,177
531,129.0,453
532,129.0,511
533,129.0,710
534,129.0,928
535,134.0,0
536,134.0,1
537,134.0,3
538,134.0,4
539,134.0,9
540,134.0,129
541,134.0,167
542,134.0,710
543,134.0,1395
544,134.0,1412
545,136.0,0
546,136.0,1
547,136.0,29
548,136.0,315
549,136.0,363
550,136.0,833
551,136.0,841
552,136.0,931
553,137.0,0
554,137.0,1
555,137.0,2
556,137.0,4
557,137.0,5
558,137.0,29
559,137.0,42
560,137.0,84
561,137.0,86
562,137.0,87
563,137.0,140
564,137.0,158
565,137.0,248
566,137.0,250
567,137.0,266
568,137.0,281
569,137.0,291
570,137.0,431
571,137.0,442
572,137.0,443
573,137.0,453
574,137.0,520
575,137.0,555
576,137.0,597
577,137.0,640
578,137.0,659
579,137.0,734
580,137.0,738
581,137.0,751
582,137.0,821
583,137.0,848
584,137.0,948
585,137.0,974
586,137.0,990
587,137.0,1011
588,137.0,1043
589,137.0,1124
590,137.0,1125
591,137.0,1127
592,137.0,1155
593,137.0,1190
594,137.0,1269
595,137.0,1374
596,137.0,1380
597,137.0,1421
598,137.0,1492
599,139.0,0
600,139.0,1
601,139.0,4
602,139.0,30
603,139.0,48
604,139.0,78
605,139.0,79
606,144.0,0
607,144.0,1
608,144.0,4
609,144.0,5
610,144.0,1232
611,149.0,0
612,149.0,1
613,149.0,2
614,149.0,73
615,149.0,226
616,150.0,176
617,150.0,177
618,150.0,437
619,150.0,438
620,150.0,1447
621,169.0,0
622,169.0,1
623,169.0,3
624,169.0,4
625,169.0,7
626,169.0,10
627,169.0,29
628,169.0,49
629,169.0,54
630,169.0,55
631,169.0,56
632,169.0,927
633,172.0,0
634,172.0,1
635,172.0,2
636,172.0,3
637,172.0,4
638,172.0,15
639,172.0,31
640,172.0,43
641,172.0,58
642,172.0,59
643,172.0,120
644,172.0,121
645,172.0,168
646,172.0,230
647,172.0,427
648,172.0,474
649,172.0,1468
650,172.0,1469
651,172.0,1470
652,172.0,1471
653,174.0,0
654,174.0,1
655,174.0,2
