,QuestionId,AnsRank,Ans_count,AnsId,Age_vot,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank,index
0,1.0,2,3,5,0,1.0,0.0,0.666666666667,0.444444444444,0.0,0
1,7.0,2,3,42,1,1.0,0.0,0.666666666667,0.444444444444,0.0,48
2,7.0,3,3,127,1,1.0,0.0,1.0,1.0,0.0,48
3,7.0,1,3,16,2,1.0,0.75,0.333333333333,0.111111111111,0.0,49
4,7.0,2,3,42,2,1.0,0.666666666667,0.666666666667,0.444444444444,0.0,49
5,7.0,3,3,127,2,1.0,0.0,1.0,1.0,0.0,49
6,14.0,3,3,13503,1366,1.0,0.0,1.0,1.0,0.0,87
7,14.0,2,3,13503,1367,1.0,0.0,0.666666666667,0.444444444444,-0.333333333333,88
8,14.0,2,3,13503,1369,1.0,0.5,0.666666666667,0.444444444444,-0.333333333333,89
9,18.0,3,3,384,4,1.0,0.0,1.0,1.0,0.0,93
10,18.0,1,3,33,5,1.0,0.8,0.333333333333,0.111111111111,0.0,94
11,18.0,1,3,33,9,1.0,0.857142857143,0.333333333333,0.111111111111,0.0,96
12,18.0,2,3,24,9,1.0,0.666666666667,0.666666666667,0.444444444444,0.0,96
13,18.0,1,3,33,44,1.0,0.9,0.333333333333,0.111111111111,0.0,97
14,18.0,1,3,33,55,1.0,0.909090909091,0.333333333333,0.111111111111,0.0,98
15,21.0,3,3,2358,194,1.0,0.0,1.0,1.0,0.0,117
16,22.0,2,3,90,0,1.0,0.0,0.666666666667,0.444444444444,0.0,125
17,22.0,3,3,76,0,1.0,0.0,1.0,1.0,0.0,125
18,22.0,2,3,90,1,1.0,0.0,0.666666666667,0.444444444444,0.0,126
19,22.0,3,3,76,1,1.0,0.0,1.0,1.0,0.0,126
20,22.0,1,3,46,2,1.0,0.75,0.333333333333,0.111111111111,0.0,127
21,22.0,2,3,90,2,1.0,0.5,0.666666666667,0.444444444444,0.0,127
22,22.0,3,3,76,2,1.0,0.5,1.0,1.0,0.0,127
23,22.0,1,3,46,8,1.0,0.571428571429,0.333333333333,0.111111111111,0.0,128
24,22.0,1,3,46,16,1.0,0.625,0.333333333333,0.111111111111,-0.333333333333,129
25,22.0,2,3,76,16,1.0,0.666666666667,0.666666666667,0.444444444444,0.333333333333,129
26,22.0,2,3,76,19,1.0,0.75,0.666666666667,0.444444444444,0.333333333333,130
27,22.0,3,3,90,19,1.0,0.666666666667,1.0,1.0,0.333333333333,130
28,22.0,2,3,90,23,1.0,0.75,0.666666666667,0.444444444444,0.333333333333,131
29,22.0,1,3,46,28,1.0,0.666666666667,0.333333333333,0.111111111111,-0.666666666667,132
30,22.0,2,3,90,28,1.0,0.8,0.666666666667,0.444444444444,0.333333333333,132
31,22.0,3,3,76,28,1.0,0.8,1.0,1.0,0.333333333333,132
32,22.0,1,3,46,123,1.0,0.7,0.333333333333,0.111111111111,-0.666666666667,133
33,22.0,1,3,46,129,1.0,0.727272727273,0.333333333333,0.111111111111,-0.666666666667,134
34,22.0,1,3,46,163,1.0,0.75,0.333333333333,0.111111111111,-0.666666666667,135
35,22.0,2,3,76,163,1.0,0.833333333333,0.666666666667,0.444444444444,0.333333333333,135
36,22.0,2,3,90,182,1.0,0.833333333333,0.666666666667,0.444444444444,0.333333333333,136
37,22.0,1,3,46,703,1.0,0.769230769231,0.333333333333,0.111111111111,-0.666666666667,138
38,22.0,1,3,46,739,1.0,0.785714285714,0.333333333333,0.111111111111,-0.666666666667,139
39,22.0,1,3,46,1204,1.0,0.8,0.333333333333,0.111111111111,-0.666666666667,140
40,25.0,1,3,67,2,1.0,0.0,0.333333333333,0.111111111111,0.0,147
41,25.0,1,3,67,3,1.0,0.0,0.333333333333,0.111111111111,0.0,148
42,28.0,2,3,58,7,1.0,0.0,0.666666666667,0.444444444444,0.0,177
43,28.0,3,3,51,7,1.0,0.0,1.0,1.0,0.0,177
44,28.0,1,3,41,8,1.0,0.875,0.333333333333,0.111111111111,0.0,178
45,28.0,2,3,51,8,1.0,0.0,0.666666666667,0.444444444444,0.0,178
46,28.0,3,3,58,8,1.0,0.0,1.0,1.0,0.0,178
47,28.0,2,3,58,11,1.0,0.5,0.666666666667,0.444444444444,0.0,179
48,34.0,1,3,37,105,1.0,0.857142857143,0.333333333333,0.111111111111,0.0,232
49,38.0,2,3,48,1,1.0,0.0,0.666666666667,0.444444444444,0.0,238
50,38.0,3,3,47,1,1.0,0.0,1.0,1.0,0.0,238
51,38.0,1,3,57,2,1.0,0.75,0.333333333333,0.111111111111,0.0,239
52,38.0,2,3,47,2,1.0,0.0,0.666666666667,0.444444444444,-0.333333333333,239
53,38.0,3,3,48,2,1.0,0.666666666667,1.0,1.0,0.333333333333,239
54,38.0,1,3,57,6,1.0,0.857142857143,0.333333333333,0.111111111111,0.0,241
55,38.0,2,3,47,6,1.0,0.5,0.666666666667,0.444444444444,-0.333333333333,241
56,44.0,3,3,3099,375,1.0,0.0,1.0,1.0,0.0,286
57,44.0,2,3,3099,376,1.0,0.0,0.666666666667,0.444444444444,-0.333333333333,287
58,44.0,2,3,3099,379,1.0,0.5,0.666666666667,0.444444444444,-0.333333333333,288
59,44.0,2,3,53,423,1.0,0.823529411765,0.666666666667,0.444444444444,0.0,289
60,44.0,2,3,53,443,1.0,0.833333333333,0.666666666667,0.444444444444,0.0,290
61,44.0,2,3,53,498,1.0,0.842105263158,0.666666666667,0.444444444444,0.0,291
62,60.0,3,3,212,1,1.0,0.0,1.0,1.0,0.0,312
