,AnsId,QuestionId,index,Votes,AnsRank,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
19,56,1.0,5,0.0,1,108,0.857142857143,0.2,0.04,0.0
20,210,1.0,5,0.0,2,108,0.0,0.4,0.16,0.0
21,4,1.0,5,0.0,3,108,0.0,0.6,0.36,0.0
22,5,1.0,5,0.0,4,108,0.0,0.8,0.64,0.0
23,897,1.0,5,1.0,5,108,0.0,1.0,1.0,0.0
24,56,1.0,6,1.0,1,158,0.875,0.2,0.04,0.0
25,210,1.0,6,0.0,2,158,0.0,0.4,0.16,0.0
26,4,1.0,6,0.0,3,158,0.0,0.6,0.36,0.0
27,5,1.0,6,0.0,4,158,0.0,0.8,0.64,0.0
28,897,1.0,6,0.0,5,158,0.0,1.0,1.0,0.0
72,6,2.0,14,1.0,1,0,0.0,0.2,0.04,0.0
73,8,2.0,14,1.0,2,0,0.0,0.4,0.16,0.0
74,10,2.0,14,3.0,3,0,0.0,0.6,0.36,0.0
75,13,2.0,14,3.0,4,0,0.0,0.8,0.64,0.0
76,59,2.0,14,1.0,5,0,0.0,1.0,1.0,0.0
77,10,2.0,15,1.0,1,1,0.0,0.2,0.04,0.0
78,13,2.0,15,1.0,2,1,0.0,0.4,0.16,0.0
79,6,2.0,15,0.0,3,1,0.0,0.6,0.36,0.0
80,8,2.0,15,0.0,4,1,0.0,0.8,0.64,0.0
81,59,2.0,15,0.0,5,1,0.0,1.0,1.0,0.0
82,10,2.0,16,1.0,1,2,0.75,0.2,0.04,0.0
83,13,2.0,16,0.0,2,2,0.0,0.4,0.16,0.0
84,6,2.0,16,0.0,3,2,0.0,0.6,0.36,0.0
85,8,2.0,16,0.0,4,2,0.0,0.8,0.64,0.0
86,59,2.0,16,0.0,5,2,0.0,1.0,1.0,0.0
87,10,2.0,17,1.0,1,15,0.8,0.2,0.04,0.0
88,13,2.0,17,1.0,2,15,0.75,0.4,0.16,0.0
89,6,2.0,17,0.0,3,15,0.0,0.6,0.36,0.0
90,8,2.0,17,0.0,4,15,0.0,0.8,0.64,0.0
91,59,2.0,17,0.0,5,15,0.0,1.0,1.0,0.0
92,10,2.0,18,1.0,1,26,0.833333333333,0.2,0.04,0.0
93,13,2.0,18,0.0,2,26,0.75,0.4,0.16,0.0
94,6,2.0,18,0.0,3,26,0.0,0.6,0.36,0.0
95,8,2.0,18,0.0,4,26,0.0,0.8,0.64,0.0
96,59,2.0,18,0.0,5,26,0.0,1.0,1.0,0.0
97,10,2.0,19,1.0,1,808,0.857142857143,0.2,0.04,0.0
98,13,2.0,19,0.0,2,808,0.75,0.4,0.16,0.0
99,6,2.0,19,0.0,3,808,0.0,0.6,0.36,0.0
100,8,2.0,19,0.0,4,808,0.0,0.8,0.64,0.0
101,59,2.0,19,0.0,5,808,0.0,1.0,1.0,0.0
378,42,7.0,60,0.0,1,338,0.916666666667,0.2,0.04,0.0
379,17,7.0,60,0.0,2,338,0.5,0.4,0.16,-0.2
380,127,7.0,60,0.0,3,338,0.5,0.6,0.36,-0.2
381,16,7.0,60,0.0,4,338,0.857142857143,0.8,0.64,0.4
382,2954,7.0,60,1.0,5,338,0.0,1.0,1.0,0.0
383,2954,7.0,61,1.0,1,339,0.0,0.2,0.04,-0.8
384,42,7.0,61,0.0,2,339,0.916666666667,0.4,0.16,0.2
385,17,7.0,61,0.0,3,339,0.5,0.6,0.36,0.0
386,127,7.0,61,0.0,4,339,0.5,0.8,0.64,0.0
387,16,7.0,61,0.0,5,339,0.857142857143,1.0,1.0,0.6
552,33,18.0,107,0.0,1,262,0.928571428571,0.2,0.04,0.0
553,24,18.0,107,0.0,2,262,0.857142857143,0.4,0.16,0.0
554,1382,18.0,107,0.0,3,262,0.0,0.6,0.36,0.0
555,2661,18.0,107,1.0,4,262,0.0,0.8,0.64,0.0
556,384,18.0,107,0.0,5,262,0.0,1.0,1.0,0.0
557,33,18.0,108,0.0,1,263,0.928571428571,0.2,0.04,0.0
558,2661,18.0,108,1.0,2,263,0.0,0.4,0.16,-0.2
559,24,18.0,108,0.0,3,263,0.857142857143,0.6,0.36,0.2
560,1382,18.0,108,0.0,4,263,0.0,0.8,0.64,0.0
561,384,18.0,108,0.0,5,263,0.0,1.0,1.0,0.0
562,33,18.0,109,1.0,1,266,0.933333333333,0.2,0.04,0.0
563,2661,18.0,109,0.0,2,266,0.0,0.4,0.16,-0.2
564,24,18.0,109,0.0,3,266,0.857142857143,0.6,0.36,0.2
565,1382,18.0,109,0.0,4,266,0.0,0.8,0.64,0.0
566,384,18.0,109,0.0,5,266,0.0,1.0,1.0,0.0
567,33,18.0,110,0.0,1,316,0.933333333333,0.2,0.04,0.0
568,1382,18.0,110,1.0,2,316,0.5,0.4,0.16,-0.2
569,2661,18.0,110,0.0,3,316,0.0,0.6,0.36,-0.2
570,24,18.0,110,0.0,4,316,0.857142857143,0.8,0.64,0.4
571,384,18.0,110,0.0,5,316,0.0,1.0,1.0,0.0
572,33,18.0,111,1.0,1,443,0.9375,0.2,0.04,0.0
573,1382,18.0,111,0.0,2,443,0.5,0.4,0.16,-0.2
574,2661,18.0,111,0.0,3,443,0.0,0.6,0.36,-0.2
575,24,18.0,111,0.0,4,443,0.857142857143,0.8,0.64,0.4
576,384,18.0,111,0.0,5,443,0.0,1.0,1.0,0.0
577,33,18.0,112,1.0,1,1334,0.941176470588,0.2,0.04,0.0
578,1382,18.0,112,0.0,2,1334,0.5,0.4,0.16,-0.2
579,2661,18.0,112,0.0,3,1334,0.0,0.6,0.36,-0.2
580,24,18.0,112,0.0,4,1334,0.857142857143,0.8,0.64,0.4
581,384,18.0,112,0.0,5,1334,0.0,1.0,1.0,0.0
601,80,21.0,120,0.0,1,328,0.5,0.2,0.04,-0.2
602,2912,21.0,120,0.0,2,328,0.0,0.4,0.16,-0.2
