,AnsId,QuestionId,index,Votes,AnsRank,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
3,56,1.0,1,3.0,1,1,0.0,0.25,0.0625,0.0
4,4,1.0,1,1.0,2,1,0.0,0.5,0.25,0.0
5,5,1.0,1,1.0,3,1,0.0,0.75,0.5625,0.0
6,210,1.0,1,1.0,4,1,0.0,1.0,1.0,0.0
7,56,1.0,2,1.0,1,2,0.666666666667,0.25,0.0625,0.0
8,210,1.0,2,1.0,2,2,0.0,0.5,0.25,0.0
9,4,1.0,2,0.0,3,2,0.0,0.75,0.5625,0.0
10,5,1.0,2,0.0,4,2,0.0,1.0,1.0,0.0
11,56,1.0,3,1.0,1,5,0.833333333333,0.25,0.0625,0.0
12,210,1.0,3,0.0,2,5,0.0,0.5,0.25,0.0
13,4,1.0,3,0.0,3,5,0.0,0.75,0.5625,0.0
14,5,1.0,3,0.0,4,5,0.0,1.0,1.0,0.0
15,56,1.0,4,1.0,1,8,0.857142857143,0.25,0.0625,0.0
16,210,1.0,4,0.0,2,8,0.0,0.5,0.25,0.0
17,4,1.0,4,0.0,3,8,0.0,0.75,0.5625,0.0
18,5,1.0,4,0.0,4,8,0.0,1.0,1.0,0.0
338,16,7.0,50,1.0,1,4,0.833333333333,0.25,0.0625,0.0
339,42,7.0,50,1.0,2,4,0.75,0.5,0.25,0.0
340,127,7.0,50,0.0,3,4,0.0,0.75,0.5625,0.0
341,17,7.0,50,1.0,4,4,0.0,1.0,1.0,0.0
342,42,7.0,51,1.0,1,5,0.8,0.25,0.0625,-0.25
343,17,7.0,51,1.0,2,5,0.0,0.5,0.25,-0.25
344,16,7.0,51,0.0,3,5,0.833333333333,0.75,0.5625,0.5
345,127,7.0,51,0.0,4,5,0.0,1.0,1.0,0.0
346,42,7.0,52,1.0,1,11,0.833333333333,0.25,0.0625,-0.25
347,127,7.0,52,1.0,2,11,0.5,0.5,0.25,-0.25
348,16,7.0,52,1.0,3,11,0.857142857143,0.75,0.5625,0.5
349,17,7.0,52,0.0,4,11,0.0,1.0,1.0,0.0
350,42,7.0,53,1.0,1,12,0.857142857143,0.25,0.0625,0.0
351,127,7.0,53,0.0,2,12,0.5,0.5,0.25,-0.25
352,16,7.0,53,0.0,3,12,0.857142857143,0.75,0.5625,0.25
353,17,7.0,53,0.0,4,12,0.0,1.0,1.0,0.0
354,42,7.0,54,1.0,1,45,0.875,0.25,0.0625,0.0
355,127,7.0,54,0.0,2,45,0.5,0.5,0.25,-0.25
356,16,7.0,54,0.0,3,45,0.857142857143,0.75,0.5625,0.25
357,17,7.0,54,0.0,4,45,0.0,1.0,1.0,0.0
358,42,7.0,55,1.0,1,75,0.888888888889,0.25,0.0625,0.0
359,127,7.0,55,0.0,2,75,0.5,0.5,0.25,-0.25
360,16,7.0,55,0.0,3,75,0.857142857143,0.75,0.5625,0.25
361,17,7.0,55,0.0,4,75,0.0,1.0,1.0,0.0
362,42,7.0,56,1.0,1,135,0.9,0.25,0.0625,0.0
363,127,7.0,56,0.0,2,135,0.5,0.5,0.25,-0.25
364,16,7.0,56,0.0,3,135,0.857142857143,0.75,0.5625,0.25
365,17,7.0,56,0.0,4,135,0.0,1.0,1.0,0.0
366,17,7.0,57,1.0,1,140,0.5,0.25,0.0625,-0.5
367,42,7.0,57,0.0,2,140,0.9,0.5,0.25,0.25
368,127,7.0,57,0.0,3,140,0.5,0.75,0.5625,-0.25
369,16,7.0,57,0.0,4,140,0.857142857143,1.0,1.0,0.5
370,42,7.0,58,1.0,1,158,0.909090909091,0.25,0.0625,0.0
371,17,7.0,58,0.0,2,158,0.5,0.5,0.25,-0.25
372,127,7.0,58,0.0,3,158,0.5,0.75,0.5625,-0.25
373,16,7.0,58,0.0,4,158,0.857142857143,1.0,1.0,0.5
374,42,7.0,59,1.0,1,336,0.916666666667,0.25,0.0625,0.0
375,17,7.0,59,0.0,2,336,0.5,0.5,0.25,-0.25
376,127,7.0,59,0.0,3,336,0.5,0.75,0.5625,-0.25
377,16,7.0,59,0.0,4,336,0.857142857143,1.0,1.0,0.5
520,33,18.0,99,0.0,1,62,0.909090909091,0.25,0.0625,0.0
521,24,18.0,99,0.0,2,62,0.666666666667,0.5,0.25,0.0
522,1382,18.0,99,1.0,3,62,0.0,0.75,0.5625,0.0
523,384,18.0,99,0.0,4,62,0.0,1.0,1.0,0.0
524,33,18.0,100,1.0,1,63,0.916666666667,0.25,0.0625,0.0
525,1382,18.0,100,1.0,2,63,0.0,0.5,0.25,-0.25
526,24,18.0,100,0.0,3,63,0.666666666667,0.75,0.5625,0.25
527,384,18.0,100,0.0,4,63,0.0,1.0,1.0,0.0
528,33,18.0,101,0.0,1,140,0.916666666667,0.25,0.0625,0.0
529,24,18.0,101,1.0,2,140,0.75,0.5,0.25,0.0
530,1382,18.0,101,0.0,3,140,0.0,0.75,0.5625,0.0
531,384,18.0,101,0.0,4,140,0.0,1.0,1.0,0.0
532,33,18.0,102,0.0,1,158,0.916666666667,0.25,0.0625,0.0
533,24,18.0,102,1.0,2,158,0.8,0.5,0.25,0.0
534,1382,18.0,102,0.0,3,158,0.0,0.75,0.5625,0.0
535,384,18.0,102,0.0,4,158,0.0,1.0,1.0,0.0
536,33,18.0,103,1.0,1,159,0.923076923077,0.25,0.0625,0.0
537,24,18.0,103,0.0,2,159,0.8,0.5,0.25,0.0
538,1382,18.0,103,0.0,3,159,0.0,0.75,0.5625,0.0
539,384,18.0,103,0.0,4,159,0.0,1.0,1.0,0.0
540,33,18.0,104,1.0,1,167,0.928571428571,0.25,0.0625,0.0
541,24,18.0,104,0.0,2,167,0.8,0.5,0.25,0.0
542,1382,18.0,104,0.0,3,167,0.0,0.75,0.5625,0.0
543,384,18.0,104,0.0,4,167,0.0,1.0,1.0,0.0
544,33,18.0,105,0.0,1,254,0.928571428571,0.25,0.0625,0.0
545,24,18.0,105,1.0,2,254,0.833333333333,0.5,0.25,0.0
546,1382,18.0,105,0.0,3,254,0.0,0.75,0.5625,0.0
547,384,18.0,105,0.0,4,254,0.0,1.0,1.0,0.0
548,33,18.0,106,0.0,1,259,0.928571428571,0.25,0.0625,0.0
549,24,18.0,106,1.0,2,259,0.857142857143,0.5,0.25,0.0
550,1382,18.0,106,0.0,3,259,0.0,0.75,0.5625,0.0
551,384,18.0,106,0.0,4,259,0.0,1.0,1.0,0.0
593,80,21.0,118,0.0,1,323,0.5,0.25,0.0625,-0.25
594,40,21.0,118,0.0,2,323,0.666666666667,0.5,0.25,0.25
595,2912,21.0,118,1.0,3,323,0.0,0.75,0.5625,0.0
596,2358,21.0,118,0.0,4,323,0.0,1.0,1.0,0.0
597,80,21.0,119,0.0,1,324,0.5,0.25,0.0625,-0.25
598,2912,21.0,119,1.0,2,324,0.0,0.5,0.25,-0.25
599,40,21.0,119,0.0,3,324,0.666666666667,0.75,0.5625,0.5
600,2358,21.0,119,0.0,4,324,0.0,1.0,1.0,0.0
674,46,22.0,141,0.0,1,1340,0.8,0.25,0.0625,-0.5
675,90,22.0,141,0.0,2,1340,0.833333333333,0.5,0.25,0.0
676,792,22.0,141,1.0,3,1340,0.0,0.75,0.5625,-0.25
677,76,22.0,141,0.0,4,1340,0.857142857143,1.0,1.0,0.75
678,46,22.0,142,1.0,1,1341,0.8125,0.25,0.0625,-0.25
679,76,22.0,142,1.0,2,1341,0.625,0.5,0.25,-0.25
680,90,22.0,142,3.0,3,1341,0.857142857143,0.75,0.5625,0.5
681,792,22.0,142,1.0,4,1341,0.0,1.0,1.0,0.0
682,46,22.0,143,2.0,1,1372,0.823529411765,0.25,0.0625,-0.25
683,90,22.0,143,1.0,2,1372,0.875,0.5,0.25,0.25
684,76,22.0,143,1.0,3,1372,0.7,0.75,0.5625,0.0
685,792,22.0,143,0.0,4,1372,0.0,1.0,1.0,0.0
686,46,22.0,144,1.0,1,1373,0.833333333333,0.25,0.0625,-0.25
687,90,22.0,144,0.0,2,1373,0.875,0.5,0.25,0.25
688,76,22.0,144,0.0,3,1373,0.7,0.75,0.5625,0.0
689,792,22.0,144,0.0,4,1373,0.0,1.0,1.0,0.0
690,46,22.0,145,0.0,1,1413,0.833333333333,0.25,0.0625,-0.25
691,90,22.0,145,1.0,2,1413,0.909090909091,0.5,0.25,0.25
692,76,22.0,145,0.0,3,1413,0.7,0.75,0.5625,0.0
693,792,22.0,145,0.0,4,1413,0.0,1.0,1.0,0.0
702,67,25.0,149,1.0,1,5,0.5,0.25,0.0625,0.0
