,QuestionId,Age_vot,AnsRank,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
1,3.0,362,1,0.0,0.909090909091,0.125,0.015625,0.0
2,3.0,362,1,1.0,0.909090909091,0.125,0.015625,0.0
0,3.0,401,1,0.0,0.909090909091,0.125,0.015625,0.0
0,3.0,491,1,0.0,0.909090909091,0.125,0.015625,0.0
0,3.0,521,1,0.0,0.916666666667,0.125,0.015625,0.0
1,3.0,521,1,1.0,0.916666666667,0.125,0.015625,0.0
0,3.0,615,1,0.0,0.769230769231,0.125,0.015625,-0.375
1,3.0,615,1,1.0,0.769230769231,0.125,0.015625,-0.375
0,3.0,739,1,1.0,0.785714285714,0.125,0.015625,-0.375
0,3.0,743,1,1.0,0.8,0.125,0.015625,-0.25
0,3.0,751,1,0.0,0.8,0.111111111111,0.0123456790123,-0.222222222222
0,3.0,752,1,0.0,0.8125,0.111111111111,0.0123456790123,-0.333333333333
1,3.0,752,1,0.0,0.8125,0.111111111111,0.0123456790123,-0.333333333333
2,3.0,752,1,1.0,0.8125,0.111111111111,0.0123456790123,-0.333333333333
0,3.0,776,1,1.0,0.823529411765,0.111111111111,0.0123456790123,-0.333333333333
0,3.0,781,1,1.0,0.833333333333,0.111111111111,0.0123456790123,-0.111111111111
0,3.0,952,1,0.0,0.833333333333,0.1,0.01,-0.1
0,3.0,1191,1,0.0,0.842105263158,0.1,0.01,-0.2
1,3.0,1191,1,1.0,0.842105263158,0.1,0.01,-0.2
0,3.0,1219,1,0.0,0.842105263158,0.0909090909091,0.00826446280992,-0.181818181818
0,3.0,1220,1,0.0,0.85,0.0909090909091,0.00826446280992,-0.181818181818
1,3.0,1220,1,1.0,0.85,0.0909090909091,0.00826446280992,-0.181818181818
0,3.0,1406,1,1.0,0.857142857143,0.0909090909091,0.00826446280992,-0.0909090909091
0,7.0,0,1,0.0,0.0,0.5,0.25,0.0
1,7.0,0,1,0.0,0.0,0.5,0.25,0.0
2,7.0,0,1,1.0,0.0,0.5,0.25,0.0
3,7.0,0,1,1.0,0.0,0.5,0.25,0.0
4,7.0,0,1,1.0,0.0,0.5,0.25,0.0
0,7.0,1,1,0.0,0.0,0.333333333333,0.111111111111,0.0
1,7.0,1,1,0.0,0.0,0.333333333333,0.111111111111,0.0
2,7.0,1,1,1.0,0.0,0.333333333333,0.111111111111,0.0
3,7.0,1,1,1.0,0.0,0.333333333333,0.111111111111,0.0
0,7.0,2,1,0.0,0.75,0.333333333333,0.111111111111,0.0
1,7.0,2,1,0.0,0.75,0.333333333333,0.111111111111,0.0
2,7.0,2,1,1.0,0.75,0.333333333333,0.111111111111,0.0
0,7.0,4,1,0.0,0.833333333333,0.25,0.0625,0.0
1,7.0,4,1,0.0,0.833333333333,0.25,0.0625,0.0
2,7.0,4,1,1.0,0.833333333333,0.25,0.0625,0.0
0,7.0,5,1,0.0,0.8,0.25,0.0625,-0.25
1,7.0,5,1,1.0,0.8,0.25,0.0625,-0.25
